Start,End,Open,High,Low,Close,Volume,Volatility,Impact,Rolling_std,Price_to_Volume,Cluster
2023-08-09,2023-08-10,29814.01,30071.63,29414.98,29596.9,0.22541199476721774,0.054721351288156056,1.3730674733903104e-08,127.28056975048969,131301.3534641962,1
2023-08-08,2023-08-09,29214.05,30127.05,29128.81,29766.72,0.2182899135960393,0.0831874540621163,2.1554376054341273e-08,153.90294866382584,136363.2405622066,1
2023-08-07,2023-08-08,29088.91,29276.77,28781.8,29206.01,0.18714413932825344,0.041247890424272605,1.2466157404750362e-08,186.89457679665026,156061.57961897086,1
2023-08-06,2023-08-07,29065.05,29199.94,28980.12,29086.65,0.1825897681883812,0.018318506723768252,5.674400601020119e-09,227.20195943111585,159300.54727924717,1
2023-08-05,2023-08-06,29118.39,29142.06,28987.39,29074.55,0.17862542001737866,0.012889288667843116,4.081232910779986e-09,262.60129620652975,162768.26667319413,1
2023-08-04,2023-08-05,29215.74,29309.66,28926.04,29113.38,0.20325389608081934,0.03196863592653975,8.89599751577054e-09,278.2468198728591,143236.51630482753,1
2023-08-03,2023-08-04,29167.71,29398.24,29016.2,29198.33,0.23213554196315292,0.03183696801359498,7.757161918491895e-09,275.6354362591066,125781.38510402977,1
2023-08-02,2023-08-03,29760.35,29989.7,29011.99,29151.7,0.2726120911777999,0.08147660453505352,1.6904569818150424e-08,242.92283079562776,106934.72866171229,1
2023-08-01,2023-08-02,29226.01,29629.24,28778.21,29629.24,0.19560110792656593,0.07091983794526686,2.0507125588760336e-08,192.43866448412052,151477.8740983596,1
2023-07-28,2023-07-29,29214.02,29510.07,29126.05,29318.62,0.19151028820129468,0.03200196957538669,9.451317746044402e-09,158.10754673964817,153091.61860371425,1
2023-07-27,2023-07-28,29337.96,29555.75,29100.73,29209.65,0.1902625772038372,0.0379186922456967,1.1272170600819122e-08,156.855319847945,153522.83370316346,1
2023-07-26,2023-07-27,29217.21,29661.48,29131.02,29349.52,0.17287211137900765,0.04420541841820628,1.4462895117931694e-08,140.71365734922503,169775.90986699777,1
2023-07-25,2023-07-26,29177.63,29330.03,29053.27,29242.03,0.2170807597869871,0.02306355163711254,6.009190954536701e-09,59.790832613426595,134705.76585734298,1
2023-07-24,2023-07-25,30076.96,30087.98,28945.6,29186.08,0.2194299221843957,0.09519923442406707,2.4538557513682304e-08,67.45479278279542,133008.66039351633,1
2023-07-23,2023-07-24,29782.33,30293.98,29747.48,30060.75,0.17257893815650202,0.04554209773696371,1.4925533096399586e-08,303.803042866691,174185.5079253044,1
